timestamp,name,run_index,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code,run_dir
20260408_213042,go_file1m,9,http://127.0.0.1:8084/file1m,50,60,2,50,2977,49.61,6.695,28.991,31.791,40.607,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213042_go_file1m_R50_c50_t2_d60s_run9
20260408_213157,lean_json,9,http://127.0.0.1:8080/json,2000,60,2,100,118905,1981.65,1.393,2.609,3.443,4.663,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213157_lean_json_R2000_c100_t2_d60s_run9
20260408_213312,warp_json,9,http://127.0.0.1:8081/json,2000,60,2,100,119802,1996.64,1.126,2.221,2.489,2.697,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213312_warp_json_R2000_c100_t2_d60s_run9
20260408_213427,flask_json,9,http://127.0.0.1:8082/json,2000,60,2,100,114694,1911.55,1700.863,2412.543,2529.279,2559.999,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213427_flask_json_R2000_c100_t2_d60s_run9
20260408_213542,nginx_json,9,http://127.0.0.1:8083/json,2000,60,2,100,119802,1996.63,1.150,2.181,2.499,2.869,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213542_nginx_json_R2000_c100_t2_d60s_run9
20260408_213657,go_json,9,http://127.0.0.1:8084/json,2000,60,2,100,118907,1981.70,1.373,2.639,3.183,3.829,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213657_go_json_R2000_c100_t2_d60s_run9
20260408_213812,lean_file50k,9,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.487,2.281,2.589,2.915,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213812_lean_file50k_R300_c100_t2_d60s_run9
20260408_213927,warp_file50k,9,http://127.0.0.1:8081/file50k,300,60,2,100,17852,297.52,1.683,3.563,4.415,5.695,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_213927_warp_file50k_R300_c100_t2_d60s_run9
20260408_214042,flask_file50k,9,http://127.0.0.1:8082/file50k,300,60,2,100,17904,298.38,249.343,326.911,333.055,334.335,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214042_flask_file50k_R300_c100_t2_d60s_run9
20260408_214158,go_file50k,10,http://127.0.0.1:8084/file50k,300,60,2,100,17853,297.53,1.658,3.273,4.251,5.603,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214158_go_file50k_R300_c100_t2_d60s_run10
20260408_214313,lean_file1m,10,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,3.293,5.507,44.511,45.855,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214313_lean_file1m_R50_c50_t2_d60s_run10
20260408_214428,warp_file1m,10,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,2.893,3.971,4.387,4.791,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214428_warp_file1m_R50_c50_t2_d60s_run10
20260408_214543,flask_file1m,10,http://127.0.0.1:8082/file1m,50,60,2,50,2954,49.22,992.255,1003.519,1006.079,1006.591,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214543_flask_file1m_R50_c50_t2_d60s_run10
20260408_214658,nginx_file1m,10,http://127.0.0.1:8083/file1m,50,60,2,50,3002,50.03,2.575,3.449,3.901,4.491,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214658_nginx_file1m_R50_c50_t2_d60s_run10
20260408_214813,go_file1m,10,http://127.0.0.1:8084/file1m,50,60,2,50,3002,50.03,2.945,3.815,4.219,5.007,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214813_go_file1m_R50_c50_t2_d60s_run10
20260408_214928,lean_json,10,http://127.0.0.1:8080/json,2000,60,2,100,119803,1996.65,1.256,2.197,2.637,2.943,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_214928_lean_json_R2000_c100_t2_d60s_run10
20260408_215043,warp_json,10,http://127.0.0.1:8081/json,2000,60,2,100,119803,1996.64,1.153,2.143,2.465,2.653,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215043_warp_json_R2000_c100_t2_d60s_run10
20260408_215158,flask_json,10,http://127.0.0.1:8082/json,2000,60,2,100,110721,1845.33,1838.079,3428.351,3612.671,3665.919,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215158_flask_json_R2000_c100_t2_d60s_run10
20260408_215313,nginx_json,10,http://127.0.0.1:8083/json,2000,60,2,100,119802,1996.63,1.130,2.191,2.505,2.805,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215313_nginx_json_R2000_c100_t2_d60s_run10
20260408_215429,go_json,10,http://127.0.0.1:8084/json,2000,60,2,100,118902,1981.64,1.371,2.647,3.229,4.299,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215429_go_json_R2000_c100_t2_d60s_run10
20260408_215544,lean_file50k,10,http://127.0.0.1:8080/file50k,300,60,2,100,17854,297.55,2.165,6.919,8.439,10.375,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215544_lean_file50k_R300_c100_t2_d60s_run10
20260408_215659,warp_file50k,10,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.348,2.095,2.413,2.681,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215659_warp_file50k_R300_c100_t2_d60s_run10
20260408_215814,flask_file50k,10,http://127.0.0.1:8082/file50k,300,60,2,100,17772,296.18,278.783,354.303,358.143,361.215,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215814_flask_file50k_R300_c100_t2_d60s_run10
20260408_215929,nginx_file50k,10,http://127.0.0.1:8083/file50k,300,60,2,100,18002,300.02,1.280,2.023,2.319,2.577,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_215929_nginx_file50k_R300_c100_t2_d60s_run10
