timestamp,name,run_index,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code,run_dir
20260324_203456,lean_json,1,http://127.0.0.1:8080/json,2000,60,2,100,119803,1996.65,1.240,2.191,2.587,3.045,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_203456_lean_json_R2000_c100_t2_d60s_run1
20260324_203600,warp_json,1,http://127.0.0.1:8081/json,2000,60,2,100,119804,1996.65,1.101,2.013,2.343,2.641,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_203600_warp_json_R2000_c100_t2_d60s_run1
20260324_203702,flask_json,1,http://127.0.0.1:8082/json,2000,60,2,100,110774,1846.21,2787.327,4354.047,4468.735,4509.695,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_203702_flask_json_R2000_c100_t2_d60s_run1
20260324_203803,nginx_json,1,http://127.0.0.1:8083/json,2000,60,2,100,119802,1996.62,1.168,2.065,2.397,2.681,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_203803_nginx_json_R2000_c100_t2_d60s_run1
20260324_203904,go_json,1,http://127.0.0.1:8084/json,2000,60,2,100,118903,1981.65,1.387,2.767,3.355,4.251,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_203904_go_json_R2000_c100_t2_d60s_run1
20260324_204006,lean_file50k,1,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.457,2.157,2.467,3.001,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_204006_lean_file50k_R300_c100_t2_d60s_run1
20260324_204107,warp_file50k,1,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.290,2.043,2.331,2.569,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_204107_warp_file50k_R300_c100_t2_d60s_run1
20260324_204208,flask_file50k,1,http://127.0.0.1:8082/file50k,300,60,2,100,17904,298.38,249.471,326.143,332.799,333.823,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_204208_flask_file50k_R300_c100_t2_d60s_run1
20260324_204310,nginx_file50k,1,http://127.0.0.1:8083/file50k,300,60,2,100,17702,295.02,3.795,6.755,7.619,8.591,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_204310_nginx_file50k_R300_c100_t2_d60s_run1
20260324_204411,go_file50k,1,http://127.0.0.1:8084/file50k,300,60,2,100,18002,300.02,1.309,2.067,2.361,2.611,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260324_204411_go_file50k_R300_c100_t2_d60s_run1
