timestamp,name,run_index,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code,run_dir
20260417_153535,lean_file1m_eventlog,1,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,3.337,7.763,44.799,46.815,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260417_153535_lean_file1m_eventlog_R50_c50_t2_d60s_run1
20260417_155656,lean_json_eventlog,1,http://127.0.0.1:8080/json,2000,60,2,100,118903,1981.66,1.533,3.499,5.391,9.599,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260417_155656_lean_json_eventlog_R2000_c100_t2_d60s_run1
